RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED,ER
67,Shay Mitchell,celebrities,actors,15,3.97%(572),691.6k(613),4.3k(385),>2%
68,Marcelo Vieira Jr.,celebrities,athletes,14.7,2.04%(1940),601.5k(666),1.3k(2013),>2%
69,BELLA,celebrities,media,14.6,2.45%(1496),296.5k(993),4.1k(431),>2%
70,Ciara,celebrities,musicians,14.6,1.55%(2587),497.3k(738),2.9k(781),<=2%
71,Britney Spears,celebrities,musicians,14.5,1.29%(2942),1.7M(322),1.5k(1733),<=2%
72,National Geographic Travel,media,,14.3,1.52%(2627),5.3M(122),5.9k(194),<=2%
73,Louis Vuitton Official,fashion,luxury,14.2,0.74%(3829),24.3M(26),1.7k(1545),<=2%
74,snoopdogg,celebrities,musicians,14,0.46%(4159),859k(530),27.1k(3),<=2%
75,Floyd Mayweather,celebrities,athletes,14,1.50%(2659),323.4k(941),505(3856),<=2%
76,Vogue,media,,13.7,1.08%(3293),446.7k(787),2.9k(776),<=2%
77,Sergio Ramos,celebrities,athletes,13.7,3.12%(982),517.6k(718),577(3639),>2%
78,Tata Werneck,celebrities,tv,13.6,0.83%(3690),25.4k(2420),2.1k(1177),<=2%
79,Daddy Yankee,celebrities,musicians,13.3,0.61%(3991),313.7k(958),3.2k(667),<=2%
80,Victoria Beckham,celebrities,entrepreneurs,13.3,1.45%(2728),542.5k(703),1.5k(1784),<=2%
81,Dior Official,fashion,luxury,13.1,0.74%(3826),34.4M(11),1.9k(1356),<=2%
82,M�A�C Cosmetics,beauty,retail,13,0.70%(3872),7.6M(87),3.3k(636),<=2%
83,Channing Tatum,celebrities,actors,13,4.72%(370),485k(747),718(3207),>2%
84,Robert Downey Jr.,celebrities,tv,12.9,3.65%(693),818.1k(544),133(5050),>2%
85,elliegoulding,celebrities,musicians,12.9,1.75%(2300),648.9k(638),3.6k(551),<=2%
